#Observation	PValue	QValue
K01293	0.21716848019127	0.354720344120219
K07441	0.439867871038784	0.582410229247971
K01297	0.00529376263431274	0.0180997619686274
K05601	9.01125844395765e-06	0.000724175587810178
K02926	0.0119971840099798	0.0355102696481438
K02927	0.0997632380692129	0.195569751640494
K15894	0.0723976707573202	0.150747051871377
K15895	0.11958295162054	0.22558172613621
K11610	0.743271282072999	0.825817072063412
K15898	0.155401998673629	0.274705408072029
K14540	0.140658542473674	0.255109597340033
K20829	0.008721641217276	0.0272906425551027
K19312	0.323952528950354	0.472325610188285
K00216	0.000121509691725406	0.00162826455270494
K00215	0.125645288442933	0.234438103870407
K21090	0.00160182335329859	0.00703263792910449
K17810	0.0103483803248076	0.0315848946244578
K06013	0.101935359724216	0.199061341141535
K01560	0.697304453351547	0.791875300471276
K01567	0.00158281200645137	0.00698622583452086
K00219	5.0141887993002e-06	0.000644779316480649
K02038	0.498790518289314	0.633726610584202
K02039	0.604432288201065	0.721492328073065
K04517	0.68506137124688	0.783917159140901
K01745	0.215438635408458	0.352677664405636
K01744	0.147807445107239	0.264960458817236
K02030	0.435250580950734	0.579117315504642
K02031	0.409871439672288	0.55658989046989
K02032	0.382863595404245	0.532266128946753
K02033	0.821017817283187	0.879773038894697
K02034	0.296587906151659	0.444488969743331
K02035	7.52048577132423e-07	0.000404604564983707
K02036	0.106891412778434	0.206756908227587
K02037	0.93440712126104	0.957156268478864
K01585	0.202812144770301	0.337423734975687
K16962	0.318640322226498	0.467626947378236
K01587	0.391336933705905	0.541237796657637
K16960	0.268712244675822	0.413733760077402
K01581	0.00796388901930972	0.0254354824324377
K01580	0.421932210555694	0.567068871156029
K01582	6.49183003481198e-05	0.00129668004386199
K12660	0.00268544256587096	0.0105711917582208
K13497	0.884196338554114	0.924890807392437
K01589	0.0135408343134318	0.038991169394616
K01588	0.241329238816937	0.383101700909581
K09591	0.332248882321579	0.480014011373887
K13694	0.14692393857052	0.264027451910524
K18138	0.541889289288877	0.672108460777719
K18139	0.395423576248988	0.545112761084105
K14064	0.00156098106511196	0.00693181191131679
K13653	0.210255273009522	0.346859881688749
K14439	0.304811874575885	0.453211814680442
K14128	0.0134694764317608	0.0388076426225775
K21898	0.262582481300529	0.407687530436411
K08348	0.0614524592974893	0.132565453509965
K14127	0.058427502688781	0.127008717416133
K14126	0.029949843337709	0.0736592523827423
K02456	0.0017224118282419	0.00742489298694284
K02454	0.838836253661685	0.891282715205252
K02455	0.000300873999629355	0.00243521388253266
K03459	0.293867315850781	0.441711988484301
K14170	0.298658082845667	0.446539882457353
K02103	0.63865724988998	0.74744920900917
K03455	0.00319527378263519	0.0120855414765199
K03457	0.0285203883839386	0.0706212535324082
K02108	0.758084992780943	0.837182364045072
