taxonomy	S001_1_107	S002_2_108	S003_3_109	S004_4_110	S005_5_111	S006_6_113	S007_7_114	S008_8_115	S009_9_116	S010_10_117	S011_11_118	S012_12_120	S013_13_121	S014_14_122	S015_15_123	S016_NC1	S017_16_107	S018_17_108	S019_18_109	S020_19_110	S021_20_111	S022_21_113	S023_22_114	S024_23_115	S025_24_116	S026_25_117	S027_26_118	S028_27_119	S029_28_120	S030_29_121	S031_30_122	S032_31_123	S033_32_107	S034_33_108	S035_34_109	S036_35_110	S037_36_111	S038_37_113	S039_38_114	S040_39_116	S041_40_117	S042_41_118	S043_42_119	S044_43_120	S045_44_121	S046_45_122	S047_46_123	S048_NC2	S049_47_107	S050_48_108	S051_49_109	S052_50_110	S053_51_111	S054_52_114	S055_53_116	S056_54_117	S057_55_118	S058_56_119	S059_57_120	S060_58_121
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Jeotgalibaca	0	0	126	0	0	0	0	0	0	9	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	1049	0	0	0	0	0	0	292	0	0	0	1906	82	226	1666	1251	0	890	483
Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadaceae;Candidatus Saccharimonas	92	117	23	79	50	84	146	110	342	149	28	70	64	30	172	0	131	311	14	83	133	273	409	90	246	200	41	99	38	76	29	121	156	378	30	85	151	132	364	298	242	68	126	126	115	28	82	0	91	159	55	110	184	915	188	196	62	59	31	36
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Other	223	182	315	270	182	212	201	210	387	228	141	114	153	146	466	0	140	404	366	279	364	185	313	131	285	141	115	109	129	155	108	552	368	510	388	233	304	205	600	401	427	103	290	139	186	8	231	0	179	314	182	184	144	1123	168	141	103	124	43	52
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia	125	292	462	454	450	408	680	1304	275	381	416	126	291	340	137	0	416	346	469	735	835	714	837	1208	432	549	524	475	104	566	797	301	330	152	612	644	655	504	583	339	347	459	296	324	275	167	240	42	178	332	407	677	491	1200	131	194	226	241	49	58
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;Butyricimonas	132	325	121	176	0	154	199	435	97	164	0	0	129	156	122	0	412	219	119	288	0	306	459	393	384	235	0	60	0	69	348	255	426	332	314	379	0	123	868	702	198	0	56	0	67	386	326	0	63	204	294	167	0	86	651	172	0	36	0	45
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia	393	592	236	258	504	82	148	325	233	147	235	197	63	493	329	0	765	453	203	242	477	323	149	273	263	53	317	585	220	250	426	303	710	367	147	176	208	298	270	236	139	207	409	283	157	53	395	0	534	316	224	185	97	281	140	75	149	247	179	62
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Facklamia	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	691	12	0	625	39	2701	151	21	78	12	849	294
Bacteria;Bacteroidota;Bacteroidia;Other;Other;Other	219	262	28	138	173	0	243	156	3	59	0	0	16	256	94	0	138	175	65	118	87	0	106	116	0	25	0	36	0	11	116	272	350	103	34	198	123	0	158	0	109	0	66	0	0	80	85	4	48	152	21	55	15	33	0	69	0	16	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Shuttleworthia	32	263	146	154	193	84	109	60	35	35	74	50	89	54	36	0	97	514	178	604	844	161	504	50	39	69	147	210	69	266	57	49	80	569	304	351	545	125	581	48	79	127	164	60	86	57	64	6	56	211	185	237	271	749	17	38	79	243	33	64
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Candidatus Stoquefichus	46	180	100	48	80	76	116	144	150	69	63	21	37	227	13	0	57	91	74	36	91	140	100	80	114	65	38	0	18	125	83	13	126	88	97	34	59	99	121	86	56	27	8	22	62	26	10	0	50	78	44	31	50	193	64	24	17	22	17	30
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium] nodatum group	46	38	13	63	45	54	34	51	58	112	0	22	28	47	48	0	137	506	31	117	156	202	236	204	33	127	0	47	31	32	57	157	44	210	29	73	37	29	163	23	43	0	28	40	14	36	176	0	0	10	18	45	26	60	19	33	0	14	12	16
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;Odoribacter	55	117	25	45	130	51	47	84	57	63	131	145	67	37	52	0	65	93	73	61	114	90	43	73	152	93	100	100	127	49	94	174	64	90	55	82	87	97	137	97	44	98	109	44	59	31	176	14	9	92	31	29	25	8	55	27	47	139	51	16
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Other	412	241	366	481	256	315	166	369	478	378	432	252	351	114	367	0	394	151	340	529	136	546	176	373	212	493	378	170	286	836	237	398	348	110	509	215	147	347	233	262	562	562	122	327	1159	202	497	11	293	116	385	298	60	114	189	284	440	191	81	596
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides	0	0	0	0	0	0	540	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	1812	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	1276	0	0	0	306	0	0	0	0	0	0	0	2	0	0	445	0	0	0	33	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] xylanophilum group	165	215	203	183	266	261	134	240	150	184	450	112	198	180	341	0	43	41	149	104	127	92	51	169	92	141	163	140	102	197	225	324	122	54	166	161	141	179	114	171	216	94	149	33	132	103	208	0	14	48	97	120	28	37	84	101	98	266	10	56
Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Other;Other	0	0	0	12	32	4	73	0	53	11	3	4	51	0	0	0	365	34	49	531	119	198	97	11	10	135	200	206	72	432	14	0	5	217	41	0	14	72	8	20	0	21	8	191	0	0	0	0	0	54	418	0	68	28	0	67	199	65	19	3
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Psychrobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	82	0	20	1737	0	158	128	42	0	1203	2412
