Gene	A.1	A.2	A.3	B.1	B.2	B.3	C.1	C.2	C.3	D.1	D.2	D.3	E.1	E.2	E.3
Dlx1as	15	0	0	0	0	0	0	0	0	0	0	0	8	0	0
Dlx2	0	2	1	0	0	0	0	1	0	0	0	0	0	0	3
Dlx3	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0
Dlx4	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0
Dlx5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Dlx6	0	0	1	4	1	0	0	2	1	0	0	0	0	2	0
Dlx6as1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Dlx6as2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmap1	479	226	245	848	400	344	508	731	585	970	258	392	410	280	404
Dmbt1	1	0	2	0	1	0	3	2	0	0	0	0	0	2	2
Dmbx1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Dmc1	81	6	14	60	48	11	109	141	99	196	50	47	67	36	20
Dmd	15	11	10	124	23	16	16	24	13	7	7	7	15	11	16
Dmgdh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmkn	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0
Dmp1	2	0	1	9	1	0	1	2	0	0	0	0	0	2	0
Dmpk	24	1	11	62	14	20	12	21	20	34	8	9	16	8	13
Dmrt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmrt2	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1
Dmrt3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Dmrta1	0	0	7	1	0	0	0	0	0	0	0	0	2	1	1
Dmrta2	5	1	4	3	4	3	6	8	7	8	2	3	4	3	4
Dmrtb1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
Dmrtc1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmrtc1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmrtc1c1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmrtc1c2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmrtc2	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0
Dmtf1	3469	1676	2196	3774	1859	1946	4722	6148	4384	2816	2094	2026	2782	2031	3062
Dmwd	348	62	176	893	317	173	221	320	219	700	114	203	197	184	137
Dmxl1	1687	4379	4498	3925	4630	4167	9927	12347	9055	1512	4669	4632	1731	5027	6323
Dmxl2	0	0	2	2	3	0	2	2	3	0	2	0	0	1	2
Dna2	378	85	194	1111	531	423	1376	1662	1328	1205	433	575	382	508	453
Dnaaf1	277	3	6	6	5	12	49	49	44	22	5	5	282	17	17
Dnaaf2	301	242	215	799	415	371	712	949	629	836	304	475	298	350	398
Dnaaf3	3	2	2	30	5	2	1	5	2	6	1	2	5	3	2
Dnahc1	8	0	4	19	5	7	6	7	4	14	1	7	1	4	0
Dnahc10	5	4	4	10	4	11	35	48	28	11	14	6	12	12	11
Dnahc11	92	2	0	12	5	6	15	14	9	14	11	11	117	9	5
Dnahc17	280	55	34	90	63	49	218	248	216	189	114	107	298	88	140
Dnahc2	1	0	1	11	1	0	0	2	1	0	0	1	1	1	0
Dnahc5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Dnahc6	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
Dnahc7a	0	0	1	0	2	1	2	1	8	1	0	1	0	7	2
Dnahc7b	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2
Dnahc8	3474	4847	8377	13424	7415	5427	10624	12926	10568	4482	5954	5123	3494	5015	6632
Dnahc9	13	2	14	4043	1158	36	0	0	0	1	0	1	3	1	0
Dnaic1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Dnaic2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Dnaja1	2354	1118	3656	5459	2320	2943	4841	8346	4824	4401	1785	2911	1637	2064	3938
Dnaja2	2404	877	1482	4524	1798	1619	3188	4478	3124	4389	1320	1994	1633	1428	2063
Dnaja3	465	269	331	1148	547	421	827	1108	760	1080	393	470	397	410	468
Dnaja4	11	1	11	15	5	6	17	29	21	2	1	3	9	4	13
Dnajb1	3147	1608	3668	4998	2925	4794	3328	5611	3235	5301	1817	4287	2570	2591	4259
Dnajb11	1478	541	764	2241	986	882	1713	2528	1637	2537	632	1048	1026	834	1103
Dnajb12	417	332	328	837	460	371	730	844	643	920	369	419	417	533	500
Dnajb13	133	0	0	14	3	3	0	3	2	4	6	2	80	5	2
Dnajb14	48	71	46	102	63	46	112	124	106	63	55	47	43	64	67
Dnajb2	222	52	77	306	82	150	117	172	101	277	27	106	119	37	130
Dnajb3	13	5	22	17	8	33	17	16	19	42	1	11	8	8	6
Dnajb4	1658	1146	1954	3423	1613	1815	1962	3041	1720	1894	996	1774	870	1146	2104
Dnajb5	259	125	86	388	157	90	137	167	156	226	46	60	160	96	61
Dnajb6	703	285	386	836	399	409	958	1154	873	1049	370	572	577	401	671
Dnajb7	10	0	0	2	1	0	0	1	0	0	0	0	6	0	0
Dnajb8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnajb9	290	220	884	489	196	659	918	1575	687	532	261	1016	424	260	1285
Dnajc1	1626	962	1072	2348	1295	1113	2990	3575	2644	1782	1330	1216	1599	1287	1664
Dnajc10	1479	1070	1020	2633	1256	1199	2145	2726	2013	2438	1145	1444	1349	1181	1654
Dnajc11	877	346	451	1644	702	568	1039	1481	1060	1703	410	567	718	526	602
Dnajc12	73	26	43	130	62	57	88	104	86	215	73	86	49	62	60
Dnajc13	1800	2183	1636	3789	2360	1677	5526	6459	5039	2755	2437	1885	2001	2646	2567
Dnajc14	1941	1216	1127	3385	1566	1386	2817	3486	2712	2987	1254	1422	1515	1556	1427
Dnajc15	410	285	179	772	289	721	1958	1458	2012	2993	1049	1693	796	708	1278
Dnajc16	411	318	234	795	321	209	485	609	478	507	234	267	382	314	310
Dnajc17	130	54	66	233	91	96	153	243	195	339	63	111	120	87	101
Dnajc18	612	390	393	1302	547	524	906	1181	854	1047	526	708	551	629	646
Dnajc19	124	60	106	227	122	146	185	254	191	228	86	177	114	110	146
Dnajc2	894	294	519	1811	685	699	1415	1950	1304	1273	429	835	684	558	853
Dnajc21	488	126	282	829	302	273	721	900	680	645	204	319	358	251	347
Dnajc22	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Dnajc24	161	158	179	328	162	174	338	378	232	335	191	176	120	142	212
Dnajc25	59	35	48	145	62	40	123	187	120	118	66	55	45	59	91
Dnajc27	290	151	127	828	303	226	390	492	322	602	237	355	344	239	263
Dnajc28	94	86	91	220	107	118	295	384	291	298	119	161	155	189	175
Dnajc3	4197	3564	2699	6546	4234	3652	11125	14121	10472	7590	4872	5090	3774	5492	4748
Dnajc30	232	73	92	322	86	119	155	240	146	493	43	121	176	58	139
Dnajc4	86	46	38	163	59	62	103	139	104	220	38	80	77	45	51
Dnajc5	5871	3542	3399	8628	4227	3434	7472	9149	7179	8157	3661	4097	4456	4516	4862
Dnajc5b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnajc5g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnajc6	1234	1854	1082	1211	705	1121	5390	6022	4908	2460	2171	2279	1860	3092	2809
Dnajc7	5078	1119	1551	6248	1225	1436	3430	4345	2998	6927	1066	1649	3377	1288	1797
Dnajc8	1755	512	850	2919	931	1254	2016	2877	1922	3959	752	1594	1510	988	1408
Dnajc9	1225	312	806	2857	1391	1465	2735	4032	2818	3794	955	2038	1218	1211	1558
Dnalc1	65	31	18	298	46	39	92	69	61	166	58	37	96	26	40
Dnalc4	348	167	143	677	272	224	404	529	389	896	177	318	281	207	235
