ID	Control.1	Control.2	Control.3	Control.4	Model1.10	Model1.7	Model1.8	Model1.9	Model2.1	Model2.2	Model2.3	Model2.4
Ccl12	-0.75813268298096	-0.0717904118108819	0.232219896355242	0.572955555337145	5.4254652157343	5.16039477884043	5.44121923574393	5.98584422303565	3.97842067306856	3.7333982513729	3.44039732070466	3.18561805308566
Cybb	1.69346720893818	1.74570090012266	1.5782824353872	1.76945202933988	6.5861021428054	6.57314186970576	5.73283862789467	6.92186613984817	4.71121557187457	4.63977345859196	4.82543373481983	5.21971773928849
Pml	3.02999357993193	3.20561592551493	2.82409719860405	2.95492292141225	5.35105231357116	5.22833211681772	5.55319963944939	5.68211257287383	3.11428387519686	3.37134158889681	3.07373398479081	3.28108696142853
Apol9b	-2.06581210889809	-1.60522510395257	-0.356907449791374	-1.31687679653887	3.85378598734253	4.05048941997336	3.37638136264548	4.07899268152791	-0.429221054804605	-0.540631036032796	-0.943721646039722	-1.11411867503086
Ifi204	0.796258246908987	0.88059220351477	2.03167526121225	1.26701471305512	6.926206865687	7.15278933779544	6.36045424491261	7.5087245734956	3.34188383631002	3.53615108760151	2.68395195403815	3.16072997565932
Trex1	3.42264044300279	3.50597310852343	3.54223804079181	3.68375533614422	6.7202500722995	6.05532463793483	6.08279632390329	6.50117780801725	3.85844289648541	3.9985572992833	3.74049363960523	3.34875872981375
Gm4841	-0.75813268298096	-0.370486503010787	0.0244888081003163	-0.287785067619479	5.34424825836884	4.6419417032672	4.70363002837107	5.86062528174765	0.70534307972773	1.14285684970707	-0.294769773153954	0.633437215744679
Trim30d	1.87768235093799	1.95879890136019	1.79023263664358	2.89136078843365	6.38033210401363	6.68143493910935	6.67327950778984	7.15306456717588	3.2438794781776	3.8982631841297	3.34927624259863	3.86243637478305
Gbp9	0.796258246908987	1.07589760554095	0.575006842686873	-0.1476657008346	5.29216851830593	4.95952169044758	4.15603210257997	5.41062021794695	0.769366805032571	0.816322315268434	0.565261131877379	1.01299201885858
D17H6S56E-5	1.61264788981938	2.14443365686371	1.8544857878925	1.65928111641971	5.56952662002631	5.81712632384546	6.30668806796052	6.25158603585225	4.39339476006758	4.85572845189308	4.63281114212747	4.1358041027992
Samhd1	4.43614288902146	4.45014263818763	4.55720982597554	4.77988877314941	7.29198299848295	7.0969964318933	7.66460074034875	8.05071004383336	4.79049631979948	5.20967036642296	4.91994135223448	4.9740124288561
Ctss	6.01045410519898	6.02451874476109	6.13276548358367	6.24026545344652	9.99820655564525	9.57837557961777	8.93078054231068	9.70053377168251	8.03382113933737	8.22709054721894	8.19197807400488	8.36653178072578
Psmb9	1.38825263660638	1.4955789003513	2.03167526121225	2.08568159794932	7.07180909386904	6.21672880941584	6.61337832183372	7.0936698442628	2.07729508238443	3.38375886397271	3.17154655067533	2.72435398097809
Tmem140	1.4822386220888	1.07589760554095	1.41743278513361	0.797611841919474	5.11962049351056	4.52935364466457	5.30682690039886	5.6865250475825	2.28866999497122	2.48733435386084	2.17204176620788	2.12176816989092
Psme1	4.54359855931001	4.45600262858995	4.64157074652154	4.69866606502162	7.39434048022167	6.98533359432323	6.90717209732738	7.29419275391751	4.57901502479595	5.22009487975438	5.12308493777656	5.21065247042296
Cd274	0.469033650977809	1.66704851787672	2.11272558859884	1.65928111641971	7.4405282980568	6.98874420088799	6.63743065543922	7.55470507159578	2.41413268740356	3.32057531372202	2.2856235262727	2.58163929823343
Slfn1	-2.72977469578154	-0.546763394150302	-0.218266866193667	-1.04407982128261	4.77972001957285	4.23412205485069	4.34061434588686	5.11898842390073	-0.0519522884918701	0.488615410330915	-0.0546041300327139	0.480931581364599
Irf1	3.85911756131488	3.71589292370576	4.31041067198567	4.03942128532379	8.94678738864836	8.19140932042377	8.05615387753262	8.87412672375644	4.47245618483535	5.17793711227451	4.58922739137901	4.1294045580709
Phf11d	-0.0836450426336666	1.13553530709172	1.68814631233043	1.10834188283842	6.44615545462934	6.50093445207141	5.73089588249521	6.95698980019829	2.3317146502953	2.4165827590429	1.63406975714584	1.7734052228302
Slfn8	0.16333776133992	0.948674357637561	1.41743278513361	2.02773922775251	6.06568991839808	6.12362044385923	6.16998078857055	6.64187524388212	2.5295522033701	3.35881650980378	2.58090990189437	3.04309377623766
Cfb	0.796258246908987	1.30094545436178	2.35408118255944	1.16319489285887	7.10589842384102	6.99384504037458	6.35667955168436	7.39267189852466	2.17508028181999	2.70087103560617	2.21855291494213	1.52303870458735
