	UMIs	Genes	Genotype	Batch	PercentMT	HasTCR	Cluster	UMAP_1	UMAP_2	Foxp3	Ccr2	Cxcr6	Tcf7	Ccr7	Cxcr5	Mki67	Ccnb2
cell113	29878	5172	KO	A	1.1580427070085	TRUE	0	2.10436220093418	-5.373184245643	0	0	0.288702369764582	0.288702369764582	0.288702369764582	0	2.16308986650296	1.10133077155802
cell114	13994	3540	KO	A	1.5363727311705	TRUE	0	1.82327909393955	-5.32395891529022	0	1.52016066264116	1.90460228412186	0	0	0	2.46120117546538	0.887555372131455
cell115	14319	3581	WT	A	1.45959913401774	TRUE	0	1.98721713944126	-4.52921871524749	0	0	0.529670611139659	0	0	0	1.88509532727578	0.529670611139659
cell116	25257	4506	KO	A	0.894801441184622	TRUE	0	1.50764436646152	-7.11464027744232	0	1.09180557753477	0.949229975118598	0.583254009290682	0	0	1.81597846334032	1.99264070521329
cell117	18177	3754	KO	A	1.116795950927	TRUE	0	-0.199044037621731	-5.48434738498626	0	0	0.742076181409203	0.438348983691274	0	0	2.09825044650542	2.28262037961329
cell118	22764	4262	KO	A	1.05868915832015	TRUE	0	0.0961315147464328	-5.93995956760345	0	0	0.630516286410376	0.630516286410376	0.364150010912478	0	2.40727590632797	1.60011679844805
cell119	19906	4087	KO	A	1.28604440872099	TRUE	0	1.42747659607578	-5.63648275714813	0	0.695505494706467	1.87578991816243	0.40703793533778	0	0	1.94994957470489	1.38982974999629
cell120	15310	3912	KO	A	1.3847158719791	TRUE	0	2.23082132263828	-4.82588199954925	0	0.835660000270703	1.28444751433699	0	0	0	1.82862852727994	1.08502154900945
cell121	30166	4939	KO	A	0.93814227938739	TRUE	0	2.57238931580234	-6.18180851322113	0	0.286305404268426	0.690391946364968	0.508622044049915	0	0	1.2001133473649	1.29527285682204
cell122	15152	3783	KO	A	1.59054910242872	TRUE	0	1.29931039734531	-5.8913784442514	0	0	0.506804879803074	1.29196047333079	1.45859046504428	0	1.83734307652052	2.11139646212938
cell123	34348	4997	KO	A	0.786071969255852	TRUE	0	2.28610629959751	-6.76122478824554	0	0.627762060717823	0.627762060717823	0	0	0	1.96204964589187	1.78328063002223
cell124	27302	4892	KO	A	1.12812248186946	TRUE	0	0.813439320761447	-5.59505657535492	0	0.549592618321285	0.902229994310355	0	0	0	2.67773673720646	1.45779184623167
cell125	18966	3950	KO	A	0.764525993883792	TRUE	0	1.50738258286167	-5.35853103977142	0	0	0.423474825917129	0	0	0	1.65212845434254	1.54560637180952
cell126	27470	4810	KO	A	1.26319621405169	TRUE	0	1.16413850708652	-6.07736973148284	0	0.738168572412468	1.03679626453663	0	0.310446112698414	0	2.06896640987371	1.03679626453663
cell127	29181	4716	KO	A	0.678523696926082	TRUE	0	2.55058116837192	-6.36598591190277	0	0	0.521989557494801	0.294674122861406	0	0	1.92069614651987	1.69652410699881
cell128	19424	3983	WT	A	1.15321252059308	TRUE	0	-0.00993995742153597	-7.16103367191253	0	1.81617077090774	1.27372321417891	0	0	0	2.16589503381101	1.97101023505794
cell129	16413	3770	KO	A	0.846889660634863	TRUE	0	2.19470662995029	-5.11447529178558	0	0	1.23462592464789	0	0	0	2.37475413325259	0.79685214998971
cell130	19411	4072	KO	A	0.886095512853537	TRUE	0	1.85797567291904	-5.66664890628753	0	0	1.11863947872017	0.415528838339015	0	0	2.22383934755212	0.708205049466526
cell131	33761	5301	KO	A	1.01892716447973	TRUE	0	1.97717542572666	-6.74788383823333	0	0.635835428031125	1.21479346631015	0	0	0	2.37719076843615	1.4488459083468
cell132	25058	4369	KO	A	0.506824167930401	TRUE	0	1.30079002304721	-6.20156101566253	0	0.787194037221197	0	0	0	0	1.43331944078034	1.60758449186423
cell133	19426	4125	KO	A	0.80304746216411	TRUE	0	2.0699598304813	-5.67233042102752	0	0.707813122163647	0	0.415266262295616	0	0	1.63280127389557	0.707813122163647
cell134	25408	4669	WT	A	1.58611460957179	TRUE	0	1.13920373840976	-6.68156246524749	0	0.580624215912907	0.580624215912907	0	0	0	2.08993416006464	1.5965083369525
cell135	23898	4227	KO	A	1.28044187798142	TRUE	0	1.53987617417026	-6.06460670810638	0	0.813298598047562	0.813298598047562	0	0	0	1.79530994182852	1.25580700185921
