	UMIs	Genes	Genotype	Batch	PercentMT	HasTCR	Cluster	UMAP_1	UMAP_2
cell259	15034	3473	WT	B	1.36357589463882	TRUE	0	-0.0422006137783475	-6.39116482120452
cell260	17683	3678	KO	B	1.08013346151671	TRUE	0	3.99455947800327	-4.64167885166107
cell261	7791	2607	KO	B	2.34886407393146	TRUE	0	1.68315286560703	-5.77225117069183
cell262	17392	3888	KO	B	0.885464581416743	TRUE	0	0.914697360235935	-6.98681454044281
cell263	22269	3995	KO	B	0.700525394045534	TRUE	0	2.3038146011417	-6.48642258029876
cell264	13124	3497	KO	B	1.8515696434014	TRUE	0	0.303953599173313	-5.14730457645355
cell265	15839	3686	KO	B	1.4584254056443	TRUE	0	0.0666119567935519	-6.00506405216156
cell266	15138	3579	KO	B	1.20227242700489	FALSE	0	1.07496948166538	-5.83533815723358
cell267	18070	3920	KO	B	1.09573879358052	TRUE	0	0.440790366369968	-6.20810131412445
cell268	13220	3103	KO	B	0.83963691376702	TRUE	0	0.360570620733982	-7.32229999881683
cell269	13591	3167	KO	B	1.03745125450666	TRUE	0	1.81464452667881	-6.11569790225921
cell270	15744	3585	KO	B	1.21316056910569	TRUE	0	1.11620588226963	-5.66842226367889
cell271	19386	3944	KO	B	0.675745383266275	TRUE	0	3.3029429428165	-5.36475042682586
cell272	14724	3655	KO	B	1.15457756044553	TRUE	0	1.48899049683261	-5.02814678531585
cell273	21995	4085	KO	B	0.69561263923619	TRUE	0	2.68963880463291	-5.73340610843597
cell274	14256	3435	KO	B	1.10830527497194	TRUE	0	1.71613473816562	-4.56484798770843
cell275	20035	4032	KO	B	0.81856750686299	TRUE	0	0.251703213888889	-7.00307468753753
cell276	18628	3693	KO	B	0.84818552716341	TRUE	0	3.09918947144199	-5.44295744281707
cell277	14770	3551	KO	B	1.03588354773189	TRUE	0	2.47768325730014	-5.74231771808563
cell278	20538	4214	KO	B	0.81799591002045	TRUE	0	3.03019876404453	-5.08900122028289
cell279	15492	3520	KO	B	0.935966950684224	TRUE	0	0.793989371496921	-6.31033043247161
cell280	13575	3466	KO	B	1.37753222836096	TRUE	0	0.699306201178318	-5.57661012988983
cell281	18411	4018	KO	B	0.814730324262669	TRUE	0	1.83919639511753	-5.4366984782785
cell282	19980	4423	KO	B	1.31631631631632	TRUE	0	2.58670730515171	-4.66629604679046
cell283	35710	5259	KO	B	0.907308877065248	TRUE	0	3.63063545151401	-5.0610938487619
cell284	24039	4456	KO	B	1.13149465451974	TRUE	0	1.79925508423496	-3.56278471332489
